Symbol,Name
564,ABL.DE,Abbott Laboratories
565,ELM.L,Elementis plc
566,ABL.F,Abbott Laboratories
567,ASL.L,Aberforth Smaller Companies Trust Plc
568,JMG.L,JPMorgan Emerging Markets Ord
569,AMG.DE,Amgen Inc.
570,0R2E.L,Union Pacific Corporation
571,AMG.F,Amgen Inc.
572,FCPT.L,F&C Commercial Property Trust Limited
573,PAG.L,Paragon Banking Group PLC
574,HON.L,Honeywell International Inc.
575,0QYJ.L,"salesforce.com, inc."
576,0R9U.L,"PayPal Holdings, Inc."
577,BREE.L,Breedon Group plc
578,0R2N.L,United Technologies Corporation
579,FGP.L,Firstgroup plc
580,VEIL.L,Vietnam Enterprise Investments Limited
581,SXX.L,Sirius Minerals Plc
582,0Y0Y.L,Accenture plc
583,NFLX.MI,"Netflix, Inc."
584,CLIN.L,Clinigen Group Plc
585,0OAW.L,Marine Harvest ASA
586,BIL1.F,BHP Group Plc
587,NOVA.DE,Novo Nordisk A/S
588,BIL.F,BHP Group Plc
589,NOVC.F,Novo Nordisk A/S
590,BIL.DE,BHP Group Plc
591,BMA.BA,Banco Macro S.A.
592,BNKR.L,Bankers Investment Trust Plc
593,NFC.F,"Netflix, Inc."
594,NOVA.F,Novo Nordisk A/S
595,SNW2.F,Sanofi
596,NFC.DE,"Netflix, Inc."
597,4XS.F,Express Scripts Holding Company
598,SVS.L,Savills plc
599,NKE.F,"NIKE, Inc."
600,MMM.F,3M Company
601,LKOD.L,PJSC LUKOIL
602,ULE.L,Ultra Electronics Holdings plc
603,NKE.DE,"NIKE, Inc."
604,4I1.F,Philip Morris International Inc.
605,SANF.MI,Sanofi
606,DJAN.L,Daejan Holdings Plc
607,SNW.DE,Sanofi
608,SNW.F,Sanofi
609,SAN.PA,Sanofi
610,0R31.L,"Altria Group, Inc."
611,MMM.DE,3M Company
612,RIGD.L,Reliance Industries Limited
613,ENOG.L,Energean Oil & Gas plc
614,LLY.DE,Eli Lilly and Company
615,0YSU.L,Epiroc AB (publ)
616,GAW.L,Games Workshop Group PLC
617,HILS.L,Hill & Smith Holdings PLC
618,IHP.L,IntegraFin Holdings plc
619,SONA.F,Sony Corporation09/08/22 EUR100
620,LLY.F,Eli Lilly and Company
621,0YSV.L,Epiroc AB (publ)
622,PNL.L,Personal Assets Trust
623,BAG.L,A.G. BARR p.l.c.
624,FSJ.L,James Fisher and Sons plc
625,JHD.L,James Halstead plc
626,LLY.PA,Eli Lilly and Company
627,ADB.F,Adobe Inc.
628,MSLH.L,Marshalls plc
629,IBM.F,International Business Machines Corporation
630,CLI.L,CLS Holdings plc
631,IBM.DE,International Business Machines Corporation
632,FCH.L,Funding Circle Holdings Limited
633,PZC.L,PZ Cussons Plc
